mirnaid,weightedEigenvector
hsa-miR-665,0.33810505191861673
hsa-miR-485-5p,0.32804272359510867
hsa-miR-381-3p,0.3015998669569835
hsa-miR-493-5p,0.2763450416048815
hsa-miR-543,0.20380266790030663
hsa-miR-370-3p,0.20214660865220882
hsa-miR-541-3p,0.19975251314393272
hsa-miR-485-3p,0.187134123218247
hsa-miR-433-3p,0.18502805362271946
hsa-miR-654-5p,0.18286796179259165
hsa-miR-539-5p,0.17685578629449347
hsa-miR-329-3p,0.16794549355858113
hsa-miR-134-5p,0.16182529357015998
hsa-miR-541-5p,0.15950321752697066
hsa-miR-495-3p,0.15415704366251412
hsa-miR-432-5p,0.1508269321635051
hsa-miR-758-3p,0.1400445813252278
hsa-miR-409-3p,0.1361384548583335
hsa-miR-493-3p,0.12481608306292648
hsa-miR-136-5p,0.12229600088350397
hsa-miR-431-5p,0.11993792261226455
hsa-miR-494-3p,0.11876788444197772
hsa-miR-127-5p,0.11804786189839755
hsa-miR-1197,0.11797585821628212
hsa-miR-410-3p,0.11235967656711941
hsa-miR-382-5p,0.10861555225502
hsa-miR-323a-3p,0.1031973771139738
hsa-miR-668-3p,0.09606914153553239
hsa-miR-654-3p,0.09381906929282094
hsa-miR-154-5p,0.08926492102782263
hsa-miR-770-5p,0.08129065879894398
hsa-miR-544a,0.08112865412428506
hsa-miR-377-3p,0.07560247342825116
hsa-miR-299-3p,0.07441443395663162
hsa-miR-487a-3p,0.06802422630286394
hsa-miR-380-3p,0.05263372232191582
hsa-miR-496,0.05247171737085785
hsa-miR-376c-3p,0.05169769191780894
hsa-miR-376b-3p,0.038755268516764196
hsa-miR-376a-3p,0.03389510955492622
hsa-miR-655-3p,0.03258106598956696
hsa-miR-369-3p,0.022230727692674243
hsa-miR-656-3p,0.0205206715615198
hsa-miR-889-3p,0.011466375294991