from,to,commonMrnas
hsa-miR-654-5p,hsa-miR-541-3p,3443
hsa-miR-541-3p,hsa-miR-654-5p,3443
hsa-miR-485-5p,hsa-miR-665,3277
hsa-miR-665,hsa-miR-485-5p,3277
hsa-miR-665,hsa-miR-370-3p,1111
hsa-miR-370-3p,hsa-miR-665,1111
hsa-miR-493-5p,hsa-miR-381-3p,993
hsa-miR-381-3p,hsa-miR-493-5p,993
hsa-miR-541-3p,hsa-miR-665,935
hsa-miR-665,hsa-miR-541-3p,935
hsa-miR-485-5p,hsa-miR-381-3p,887
hsa-miR-381-3p,hsa-miR-485-5p,887
hsa-miR-485-5p,hsa-miR-370-3p,869
hsa-miR-370-3p,hsa-miR-485-5p,869
hsa-miR-541-3p,hsa-miR-485-5p,791
hsa-miR-485-5p,hsa-miR-541-3p,791
hsa-miR-665,hsa-miR-381-3p,751
hsa-miR-381-3p,hsa-miR-665,751
hsa-miR-381-3p,hsa-miR-485-3p,748
hsa-miR-485-3p,hsa-miR-381-3p,748
hsa-miR-485-5p,hsa-miR-654-5p,729
hsa-miR-654-5p,hsa-miR-485-5p,729
hsa-miR-543,hsa-miR-493-5p,725
hsa-miR-493-5p,hsa-miR-543,725
hsa-miR-665,hsa-miR-654-5p,698
hsa-miR-654-5p,hsa-miR-665,698
hsa-miR-493-5p,hsa-miR-665,696
hsa-miR-665,hsa-miR-493-5p,696
hsa-miR-485-3p,hsa-miR-493-5p,683
hsa-miR-493-5p,hsa-miR-485-3p,683
hsa-miR-493-5p,hsa-miR-485-5p,674
hsa-miR-485-5p,hsa-miR-493-5p,674
hsa-miR-485-5p,hsa-miR-433-3p,672
hsa-miR-433-3p,hsa-miR-485-5p,672
hsa-miR-433-3p,hsa-miR-381-3p,636
hsa-miR-381-3p,hsa-miR-433-3p,636
hsa-miR-381-3p,hsa-miR-543,629
hsa-miR-543,hsa-miR-381-3p,629
hsa-miR-485-3p,hsa-miR-485-5p,617
hsa-miR-485-5p,hsa-miR-485-3p,617
hsa-miR-539-5p,hsa-miR-381-3p,599
hsa-miR-381-3p,hsa-miR-539-5p,599
hsa-miR-665,hsa-miR-433-3p,597
hsa-miR-433-3p,hsa-miR-665,597
hsa-miR-665,hsa-miR-539-5p,593
hsa-miR-539-5p,hsa-miR-665,593
hsa-miR-495-3p,hsa-miR-493-5p,560
hsa-miR-493-5p,hsa-miR-495-3p,560
hsa-miR-493-5p,hsa-miR-539-5p,559
hsa-miR-539-5p,hsa-miR-493-5p,559
hsa-miR-665,hsa-miR-134-5p,549
hsa-miR-134-5p,hsa-miR-665,549
hsa-miR-495-3p,hsa-miR-381-3p,547
hsa-miR-665,hsa-miR-432-5p,547
hsa-miR-432-5p,hsa-miR-665,547
hsa-miR-381-3p,hsa-miR-495-3p,547
hsa-miR-433-3p,hsa-miR-543,545
hsa-miR-543,hsa-miR-433-3p,545
hsa-miR-485-5p,hsa-miR-432-5p,541
hsa-miR-432-5p,hsa-miR-485-5p,541
hsa-miR-665,hsa-miR-431-5p,534
hsa-miR-431-5p,hsa-miR-665,534
hsa-miR-543,hsa-miR-665,524
hsa-miR-758-3p,hsa-miR-381-3p,524
hsa-miR-665,hsa-miR-543,524
hsa-miR-381-3p,hsa-miR-758-3p,524
hsa-miR-381-3p,hsa-miR-370-3p,522
hsa-miR-370-3p,hsa-miR-381-3p,522
hsa-miR-541-5p,hsa-miR-485-5p,522
hsa-miR-485-5p,hsa-miR-541-5p,522
hsa-miR-381-3p,hsa-miR-409-3p,514
hsa-miR-409-3p,hsa-miR-381-3p,514
hsa-miR-758-3p,hsa-miR-493-5p,512
hsa-miR-493-5p,hsa-miR-758-3p,512
hsa-miR-485-5p,hsa-miR-329-3p,510
hsa-miR-329-3p,hsa-miR-485-5p,510
hsa-miR-329-3p,hsa-miR-493-5p,509
hsa-miR-493-5p,hsa-miR-329-3p,509
hsa-miR-543,hsa-miR-485-5p,509
hsa-miR-485-5p,hsa-miR-543,509
hsa-miR-381-3p,hsa-miR-1197,506
hsa-miR-1197,hsa-miR-381-3p,506
hsa-miR-381-3p,hsa-miR-329-3p,501
hsa-miR-329-3p,hsa-miR-381-3p,501
hsa-miR-485-5p,hsa-miR-539-5p,500
hsa-miR-539-5p,hsa-miR-485-5p,500
hsa-miR-665,hsa-miR-382-5p,484
hsa-miR-493-5p,hsa-miR-541-5p,484
hsa-miR-382-5p,hsa-miR-665,484
hsa-miR-541-5p,hsa-miR-493-5p,484
hsa-miR-493-5p,hsa-miR-134-5p,483
hsa-miR-134-5p,hsa-miR-493-5p,483
hsa-miR-539-5p,hsa-miR-543,482
hsa-miR-543,hsa-miR-539-5p,482
hsa-miR-493-5p,hsa-miR-409-3p,481
hsa-miR-409-3p,hsa-miR-493-5p,481
hsa-miR-370-3p,hsa-miR-541-3p,480
hsa-miR-541-3p,hsa-miR-370-3p,480
hsa-miR-381-3p,hsa-miR-127-5p,473
hsa-miR-127-5p,hsa-miR-381-3p,473
hsa-miR-654-5p,hsa-miR-370-3p,469
hsa-miR-370-3p,hsa-miR-654-5p,469
hsa-miR-381-3p,hsa-miR-410-3p,469
hsa-miR-410-3p,hsa-miR-381-3p,469
hsa-miR-329-3p,hsa-miR-665,465
hsa-miR-665,hsa-miR-329-3p,465
hsa-miR-665,hsa-miR-494-3p,461
hsa-miR-494-3p,hsa-miR-665,461
hsa-miR-134-5p,hsa-miR-381-3p,456
hsa-miR-381-3p,hsa-miR-134-5p,456
hsa-miR-381-3p,hsa-miR-431-5p,454
hsa-miR-665,hsa-miR-541-5p,454
hsa-miR-541-5p,hsa-miR-665,454
hsa-miR-431-5p,hsa-miR-381-3p,454
hsa-miR-323a-3p,hsa-miR-493-5p,451
hsa-miR-493-5p,hsa-miR-323a-3p,451
hsa-miR-541-5p,hsa-miR-381-3p,447
hsa-miR-381-3p,hsa-miR-541-5p,447
hsa-miR-493-5p,hsa-miR-433-3p,443
hsa-miR-433-3p,hsa-miR-493-5p,443
hsa-miR-1197,hsa-miR-665,438
hsa-miR-665,hsa-miR-1197,438
hsa-miR-485-5p,hsa-miR-758-3p,434
hsa-miR-758-3p,hsa-miR-485-5p,434
hsa-miR-493-3p,hsa-miR-485-5p,433
hsa-miR-485-5p,hsa-miR-493-3p,433
hsa-miR-665,hsa-miR-127-5p,433
hsa-miR-127-5p,hsa-miR-665,433
hsa-miR-495-3p,hsa-miR-665,430
hsa-miR-665,hsa-miR-495-3p,430
hsa-miR-485-5p,hsa-miR-382-5p,425
hsa-miR-382-5p,hsa-miR-485-5p,425
hsa-miR-485-5p,hsa-miR-494-3p,423
hsa-miR-494-3p,hsa-miR-485-5p,423
hsa-miR-495-3p,hsa-miR-543,420
hsa-miR-543,hsa-miR-495-3p,420
hsa-miR-432-5p,hsa-miR-381-3p,418
hsa-miR-381-3p,hsa-miR-432-5p,418
hsa-miR-485-3p,hsa-miR-665,411
hsa-miR-665,hsa-miR-485-3p,411
hsa-miR-541-5p,hsa-miR-329-3p,403
hsa-miR-329-3p,hsa-miR-541-5p,403
hsa-miR-127-5p,hsa-miR-485-5p,400
hsa-miR-485-5p,hsa-miR-127-5p,400
hsa-miR-539-5p,hsa-miR-433-3p,399
hsa-miR-433-3p,hsa-miR-539-5p,399
hsa-miR-493-5p,hsa-miR-432-5p,398
hsa-miR-432-5p,hsa-miR-493-5p,398
hsa-miR-381-3p,hsa-miR-323a-3p,396
hsa-miR-329-3p,hsa-miR-409-3p,396
hsa-miR-134-5p,hsa-miR-485-5p,396
hsa-miR-485-5p,hsa-miR-134-5p,396
hsa-miR-323a-3p,hsa-miR-381-3p,396
hsa-miR-409-3p,hsa-miR-329-3p,396
hsa-miR-432-5p,hsa-miR-433-3p,394
hsa-miR-433-3p,hsa-miR-432-5p,394
hsa-miR-495-3p,hsa-miR-485-5p,387
hsa-miR-485-5p,hsa-miR-495-3p,387
hsa-miR-409-3p,hsa-miR-541-5p,384
hsa-miR-541-5p,hsa-miR-409-3p,384
hsa-miR-485-5p,hsa-miR-431-5p,383
hsa-miR-370-3p,hsa-miR-485-3p,383
hsa-miR-431-5p,hsa-miR-485-5p,383
hsa-miR-485-3p,hsa-miR-370-3p,383
hsa-miR-493-5p,hsa-miR-136-5p,379
hsa-miR-136-5p,hsa-miR-493-5p,379
hsa-miR-493-3p,hsa-miR-665,377
hsa-miR-493-3p,hsa-miR-493-5p,377
hsa-miR-381-3p,hsa-miR-541-3p,377
hsa-miR-493-5p,hsa-miR-493-3p,377
hsa-miR-541-3p,hsa-miR-381-3p,377
hsa-miR-665,hsa-miR-493-3p,377
hsa-miR-485-3p,hsa-miR-543,376
hsa-miR-485-3p,hsa-miR-487a-3p,376
hsa-miR-487a-3p,hsa-miR-485-3p,376
hsa-miR-543,hsa-miR-485-3p,376
hsa-miR-381-3p,hsa-miR-494-3p,370
hsa-miR-494-3p,hsa-miR-381-3p,370
hsa-miR-329-3p,hsa-miR-370-3p,367
hsa-miR-370-3p,hsa-miR-329-3p,367
hsa-miR-493-3p,hsa-miR-381-3p,362
hsa-miR-539-5p,hsa-miR-134-5p,362
hsa-miR-381-3p,hsa-miR-493-3p,362
hsa-miR-493-5p,hsa-miR-127-5p,362
hsa-miR-134-5p,hsa-miR-539-5p,362
hsa-miR-127-5p,hsa-miR-493-5p,362
hsa-miR-758-3p,hsa-miR-665,361
hsa-miR-665,hsa-miR-758-3p,361
hsa-miR-665,hsa-miR-654-3p,358
hsa-miR-654-3p,hsa-miR-665,358
hsa-miR-543,hsa-miR-329-3p,357
hsa-miR-329-3p,hsa-miR-543,357
hsa-miR-665,hsa-miR-136-5p,354
hsa-miR-136-5p,hsa-miR-665,354
hsa-miR-758-3p,hsa-miR-134-5p,352
hsa-miR-134-5p,hsa-miR-758-3p,352
hsa-miR-134-5p,hsa-miR-370-3p,349
hsa-miR-433-3p,hsa-miR-485-3p,349
hsa-miR-485-3p,hsa-miR-433-3p,349
hsa-miR-370-3p,hsa-miR-134-5p,349
hsa-miR-370-3p,hsa-miR-493-5p,347
hsa-miR-493-5p,hsa-miR-370-3p,347
hsa-miR-370-3p,hsa-miR-432-5p,346
hsa-miR-432-5p,hsa-miR-370-3p,346
hsa-miR-381-3p,hsa-miR-654-3p,346
hsa-miR-654-3p,hsa-miR-381-3p,346
hsa-miR-654-5p,hsa-miR-381-3p,340
hsa-miR-493-5p,hsa-miR-1197,340
hsa-miR-758-3p,hsa-miR-433-3p,340
hsa-miR-433-3p,hsa-miR-758-3p,340
hsa-miR-1197,hsa-miR-493-5p,340
hsa-miR-381-3p,hsa-miR-654-5p,340
hsa-miR-370-3p,hsa-miR-431-5p,338
hsa-miR-431-5p,hsa-miR-370-3p,338
hsa-miR-654-3p,hsa-miR-485-5p,338
hsa-miR-485-5p,hsa-miR-654-3p,338
hsa-miR-370-3p,hsa-miR-493-3p,337
hsa-miR-493-3p,hsa-miR-370-3p,337
hsa-miR-1197,hsa-miR-485-5p,336
hsa-miR-485-5p,hsa-miR-1197,336
hsa-miR-539-5p,hsa-miR-541-5p,335
hsa-miR-539-5p,hsa-miR-329-3p,335
hsa-miR-329-3p,hsa-miR-539-5p,335
hsa-miR-541-5p,hsa-miR-539-5p,335
hsa-miR-665,hsa-miR-409-3p,334
hsa-miR-382-5p,hsa-miR-381-3p,334
hsa-miR-409-3p,hsa-miR-665,334
hsa-miR-432-5p,hsa-miR-431-5p,334
hsa-miR-381-3p,hsa-miR-382-5p,334
hsa-miR-431-5p,hsa-miR-432-5p,334
hsa-miR-485-3p,hsa-miR-539-5p,333
hsa-miR-539-5p,hsa-miR-485-3p,333
hsa-miR-543,hsa-miR-432-5p,331
hsa-miR-493-5p,hsa-miR-382-5p,331
hsa-miR-432-5p,hsa-miR-543,331
hsa-miR-382-5p,hsa-miR-493-5p,331
hsa-miR-136-5p,hsa-miR-543,330
hsa-miR-543,hsa-miR-136-5p,330
hsa-miR-495-3p,hsa-miR-485-3p,330
hsa-miR-431-5p,hsa-miR-493-5p,330
hsa-miR-485-3p,hsa-miR-495-3p,330
hsa-miR-493-5p,hsa-miR-431-5p,330
hsa-miR-370-3p,hsa-miR-758-3p,329
hsa-miR-758-3p,hsa-miR-370-3p,329
hsa-miR-495-3p,hsa-miR-539-5p,329
hsa-miR-539-5p,hsa-miR-495-3p,329
hsa-miR-134-5p,hsa-miR-654-3p,328
hsa-miR-654-3p,hsa-miR-134-5p,328
hsa-miR-433-3p,hsa-miR-134-5p,327
hsa-miR-134-5p,hsa-miR-433-3p,327
hsa-miR-493-5p,hsa-miR-410-3p,326
hsa-miR-410-3p,hsa-miR-493-5p,326
hsa-miR-485-3p,hsa-miR-409-3p,325
hsa-miR-370-3p,hsa-miR-1197,325
hsa-miR-1197,hsa-miR-370-3p,325
hsa-miR-409-3p,hsa-miR-485-3p,325
hsa-miR-136-5p,hsa-miR-381-3p,320
hsa-miR-381-3p,hsa-miR-136-5p,320
hsa-miR-495-3p,hsa-miR-433-3p,319
hsa-miR-541-5p,hsa-miR-433-3p,319
hsa-miR-433-3p,hsa-miR-495-3p,319
hsa-miR-433-3p,hsa-miR-541-5p,319
hsa-miR-134-5p,hsa-miR-543,318
hsa-miR-543,hsa-miR-134-5p,318
hsa-miR-543,hsa-miR-541-5p,317
hsa-miR-541-5p,hsa-miR-543,317
hsa-miR-541-3p,hsa-miR-493-5p,316
hsa-miR-493-5p,hsa-miR-541-3p,316
hsa-miR-409-3p,hsa-miR-433-3p,313
hsa-miR-433-3p,hsa-miR-409-3p,313
hsa-miR-541-5p,hsa-miR-432-5p,312
hsa-miR-770-5p,hsa-miR-381-3p,312
hsa-miR-432-5p,hsa-miR-541-5p,312
hsa-miR-381-3p,hsa-miR-770-5p,312
hsa-miR-134-5p,hsa-miR-485-3p,311
hsa-miR-485-3p,hsa-miR-134-5p,311
hsa-miR-494-3p,hsa-miR-493-5p,308
hsa-miR-493-5p,hsa-miR-494-3p,308
hsa-miR-485-3p,hsa-miR-127-5p,307
hsa-miR-127-5p,hsa-miR-485-3p,307
hsa-miR-409-3p,hsa-miR-495-3p,306
hsa-miR-495-3p,hsa-miR-409-3p,306
hsa-miR-485-5p,hsa-miR-668-3p,304
hsa-miR-410-3p,hsa-miR-485-3p,304
hsa-miR-668-3p,hsa-miR-485-5p,304
hsa-miR-485-3p,hsa-miR-410-3p,304
hsa-miR-485-3p,hsa-miR-541-5p,303
hsa-miR-485-3p,hsa-miR-329-3p,303
hsa-miR-541-5p,hsa-miR-485-3p,303
hsa-miR-329-3p,hsa-miR-485-3p,303
hsa-miR-409-3p,hsa-miR-539-5p,301
hsa-miR-539-5p,hsa-miR-409-3p,301
hsa-miR-665,hsa-miR-668-3p,300
hsa-miR-494-3p,hsa-miR-543,300
hsa-miR-543,hsa-miR-494-3p,300
hsa-miR-668-3p,hsa-miR-665,300
hsa-miR-136-5p,hsa-miR-541-5p,299
hsa-miR-541-5p,hsa-miR-136-5p,299
hsa-miR-433-3p,hsa-miR-329-3p,298
hsa-miR-543,hsa-miR-370-3p,298
hsa-miR-370-3p,hsa-miR-543,298
hsa-miR-329-3p,hsa-miR-433-3p,298
hsa-miR-134-5p,hsa-miR-493-3p,297
hsa-miR-665,hsa-miR-410-3p,297
hsa-miR-410-3p,hsa-miR-665,297
hsa-miR-493-3p,hsa-miR-134-5p,297
hsa-miR-485-5p,hsa-miR-410-3p,296
hsa-miR-410-3p,hsa-miR-485-5p,296
hsa-miR-432-5p,hsa-miR-654-5p,292
hsa-miR-654-5p,hsa-miR-432-5p,292
hsa-miR-541-3p,hsa-miR-432-5p,290
hsa-miR-127-5p,hsa-miR-495-3p,290
hsa-miR-432-5p,hsa-miR-541-3p,290
hsa-miR-495-3p,hsa-miR-127-5p,290
hsa-miR-381-3p,hsa-miR-377-3p,288
hsa-miR-377-3p,hsa-miR-381-3p,288
hsa-miR-654-5p,hsa-miR-493-5p,283
hsa-miR-493-5p,hsa-miR-654-5p,283
hsa-miR-134-5p,hsa-miR-136-5p,281
hsa-miR-136-5p,hsa-miR-134-5p,281
hsa-miR-409-3p,hsa-miR-543,281
hsa-miR-543,hsa-miR-409-3p,281
hsa-miR-544a,hsa-miR-493-5p,280
hsa-miR-493-5p,hsa-miR-544a,280
hsa-miR-541-3p,hsa-miR-329-3p,279
hsa-miR-329-3p,hsa-miR-541-3p,279
hsa-miR-409-3p,hsa-miR-485-5p,279
hsa-miR-485-5p,hsa-miR-409-3p,279
hsa-miR-485-5p,hsa-miR-136-5p,277
hsa-miR-493-3p,hsa-miR-433-3p,277
hsa-miR-433-3p,hsa-miR-493-3p,277
hsa-miR-136-5p,hsa-miR-485-5p,277
hsa-miR-539-5p,hsa-miR-370-3p,276
hsa-miR-370-3p,hsa-miR-539-5p,276
hsa-miR-154-5p,hsa-miR-381-3p,272
hsa-miR-381-3p,hsa-miR-154-5p,272
hsa-miR-432-5p,hsa-miR-136-5p,271
hsa-miR-136-5p,hsa-miR-432-5p,271
hsa-miR-410-3p,hsa-miR-543,270
hsa-miR-543,hsa-miR-410-3p,270
hsa-miR-543,hsa-miR-127-5p,267
hsa-miR-127-5p,hsa-miR-543,267
hsa-miR-758-3p,hsa-miR-485-3p,267
hsa-miR-485-3p,hsa-miR-758-3p,267
hsa-miR-432-5p,hsa-miR-329-3p,266
hsa-miR-329-3p,hsa-miR-432-5p,266
hsa-miR-654-3p,hsa-miR-539-5p,265
hsa-miR-539-5p,hsa-miR-654-3p,265
hsa-miR-127-5p,hsa-miR-541-5p,263
hsa-miR-541-5p,hsa-miR-127-5p,263
hsa-miR-376a-3p,hsa-miR-376b-3p,262
hsa-miR-376b-3p,hsa-miR-376a-3p,262
hsa-miR-432-5p,hsa-miR-539-5p,262
hsa-miR-544a,hsa-miR-665,262
hsa-miR-495-3p,hsa-miR-493-3p,262
hsa-miR-665,hsa-miR-544a,262
hsa-miR-539-5p,hsa-miR-432-5p,262
hsa-miR-493-3p,hsa-miR-495-3p,262
hsa-miR-668-3p,hsa-miR-370-3p,261
hsa-miR-370-3p,hsa-miR-668-3p,261
hsa-miR-485-3p,hsa-miR-154-5p,258
hsa-miR-154-5p,hsa-miR-485-3p,258
hsa-miR-381-3p,hsa-miR-668-3p,256
hsa-miR-668-3p,hsa-miR-381-3p,256
hsa-miR-541-5p,hsa-miR-370-3p,255
hsa-miR-134-5p,hsa-miR-541-3p,255
hsa-miR-370-3p,hsa-miR-541-5p,255
hsa-miR-541-3p,hsa-miR-134-5p,255
hsa-miR-433-3p,hsa-miR-127-5p,253
hsa-miR-543,hsa-miR-323a-3p,253
hsa-miR-127-5p,hsa-miR-433-3p,253
hsa-miR-323a-3p,hsa-miR-543,253
hsa-miR-543,hsa-miR-541-3p,252
hsa-miR-541-3p,hsa-miR-543,252
hsa-miR-758-3p,hsa-miR-495-3p,251
hsa-miR-495-3p,hsa-miR-758-3p,251
hsa-miR-495-3p,hsa-miR-134-5p,250
hsa-miR-539-5p,hsa-miR-758-3p,250
hsa-miR-134-5p,hsa-miR-495-3p,250
hsa-miR-758-3p,hsa-miR-539-5p,250
hsa-miR-493-5p,hsa-miR-668-3p,249
hsa-miR-668-3p,hsa-miR-493-5p,249
hsa-miR-377-3p,hsa-miR-493-5p,248
hsa-miR-493-5p,hsa-miR-377-3p,248
hsa-miR-382-5p,hsa-miR-543,246
hsa-miR-543,hsa-miR-382-5p,246
hsa-miR-495-3p,hsa-miR-541-5p,245
hsa-miR-495-3p,hsa-miR-329-3p,245
hsa-miR-541-5p,hsa-miR-495-3p,245
hsa-miR-329-3p,hsa-miR-495-3p,245
hsa-miR-487a-3p,hsa-miR-493-5p,242
hsa-miR-493-5p,hsa-miR-487a-3p,242
hsa-miR-493-5p,hsa-miR-496,241
hsa-miR-496,hsa-miR-493-5p,241
hsa-miR-136-5p,hsa-miR-485-3p,240
hsa-miR-485-3p,hsa-miR-136-5p,240
hsa-miR-154-5p,hsa-miR-493-5p,239
hsa-miR-493-5p,hsa-miR-154-5p,239
hsa-miR-134-5p,hsa-miR-154-5p,238
hsa-miR-433-3p,hsa-miR-136-5p,238
hsa-miR-154-5p,hsa-miR-134-5p,238
hsa-miR-136-5p,hsa-miR-433-3p,238
hsa-miR-323a-3p,hsa-miR-665,237
hsa-miR-494-3p,hsa-miR-485-3p,237
hsa-miR-485-3p,hsa-miR-431-5p,237
hsa-miR-665,hsa-miR-323a-3p,237
hsa-miR-431-5p,hsa-miR-485-3p,237
hsa-miR-485-3p,hsa-miR-494-3p,237
hsa-miR-431-5p,hsa-miR-543,236
hsa-miR-136-5p,hsa-miR-539-5p,236
hsa-miR-543,hsa-miR-431-5p,236
hsa-miR-539-5p,hsa-miR-136-5p,236
hsa-miR-485-5p,hsa-miR-323a-3p,235
hsa-miR-323a-3p,hsa-miR-485-5p,235
hsa-miR-1197,hsa-miR-485-3p,233
hsa-miR-485-3p,hsa-miR-1197,233
hsa-miR-1197,hsa-miR-541-3p,233
hsa-miR-541-3p,hsa-miR-1197,233
hsa-miR-432-5p,hsa-miR-127-5p,232
hsa-miR-382-5p,hsa-miR-329-3p,232
hsa-miR-136-5p,hsa-miR-329-3p,232
hsa-miR-329-3p,hsa-miR-382-5p,232
hsa-miR-329-3p,hsa-miR-136-5p,232
hsa-miR-127-5p,hsa-miR-432-5p,232
hsa-miR-433-3p,hsa-miR-1197,232
hsa-miR-1197,hsa-miR-433-3p,232
hsa-miR-770-5p,hsa-miR-665,231
hsa-miR-665,hsa-miR-770-5p,231
hsa-miR-299-3p,hsa-miR-370-3p,231
hsa-miR-370-3p,hsa-miR-299-3p,231
hsa-miR-370-3p,hsa-miR-495-3p,230
hsa-miR-410-3p,hsa-miR-329-3p,230
hsa-miR-329-3p,hsa-miR-410-3p,230
hsa-miR-495-3p,hsa-miR-370-3p,230
hsa-miR-370-3p,hsa-miR-433-3p,229
hsa-miR-433-3p,hsa-miR-494-3p,229
hsa-miR-433-3p,hsa-miR-370-3p,229
hsa-miR-1197,hsa-miR-134-5p,229
hsa-miR-494-3p,hsa-miR-433-3p,229
hsa-miR-134-5p,hsa-miR-1197,229
hsa-miR-541-5p,hsa-miR-541-3p,227
hsa-miR-758-3p,hsa-miR-543,227
hsa-miR-543,hsa-miR-758-3p,227
hsa-miR-541-3p,hsa-miR-541-5p,227
hsa-miR-654-5p,hsa-miR-329-3p,226
hsa-miR-370-3p,hsa-miR-409-3p,226
hsa-miR-409-3p,hsa-miR-370-3p,226
hsa-miR-329-3p,hsa-miR-654-5p,226
hsa-miR-654-3p,hsa-miR-329-3p,224
hsa-miR-329-3p,hsa-miR-654-3p,224
hsa-miR-134-5p,hsa-miR-409-3p,223
hsa-miR-431-5p,hsa-miR-493-3p,223
hsa-miR-409-3p,hsa-miR-134-5p,223
hsa-miR-493-3p,hsa-miR-431-5p,223
hsa-miR-493-3p,hsa-miR-329-3p,222
hsa-miR-329-3p,hsa-miR-493-3p,222
hsa-miR-410-3p,hsa-miR-409-3p,220
hsa-miR-409-3p,hsa-miR-410-3p,220
hsa-miR-381-3p,hsa-miR-544a,219
hsa-miR-544a,hsa-miR-381-3p,219
hsa-miR-544a,hsa-miR-485-5p,218
hsa-miR-485-5p,hsa-miR-544a,218
hsa-miR-543,hsa-miR-544a,217
hsa-miR-654-5p,hsa-miR-134-5p,217
hsa-miR-544a,hsa-miR-543,217
hsa-miR-541-3p,hsa-miR-494-3p,217
hsa-miR-494-3p,hsa-miR-541-3p,217
hsa-miR-493-5p,hsa-miR-299-3p,217
hsa-miR-134-5p,hsa-miR-654-5p,217
hsa-miR-299-3p,hsa-miR-493-5p,217
hsa-miR-329-3p,hsa-miR-758-3p,214
hsa-miR-494-3p,hsa-miR-539-5p,214
hsa-miR-134-5p,hsa-miR-541-5p,214
hsa-miR-539-5p,hsa-miR-494-3p,214
hsa-miR-541-5p,hsa-miR-134-5p,214
hsa-miR-127-5p,hsa-miR-382-5p,214
